aEndo	capEndo	vEndo	aSMC	vSMC	Per1	Per2	Fib1	Fib2	Fib3
HES2	0.00460605948153996	0.0203210289874205	0.00955993667566093	0	0.00157220112700904	0.0130602731368516	0.00503768743863858	0.0102769278962193	0	0
ESPN	0.00934595234700997	0.0240676380261182	0.00642688657933805	0	0.0115698401044122	0.0151907051512795	0.0100234483826376	0.0122352924463588	0	0.00549835610192487
TNFRSF25	0.158434373095064	0.281832446178579	0.207987115759003	0.0088746113498009	0.130599464943357	0.175220412740445	0.202702369800915	0.0984523692805546	0.0824116978738592	0.100725002572654
PLEKHG5	0.240248215480758	0.321689533149829	0.25830371306512	0.0360038139302708	0.283327217729203	0.239586428235932	0.238853317365152	0.0925503247730576	0.10386447318255	0.0795400199053374
NOL9	0.364436378062585	0.321698990169777	0.298367610291235	0.199229777494824	0.269775565845053	0.275589772455796	0.422030875555638	0.23533063711544	0.328068689901992	0.238989421768224
TAS1R1	0.0112110802749136	0.0166786108522971	0.0119243167095011	0.00175463298712924	0.0199697146912652	0.0182180876013122	0	0	0.0188914405497801	0.0115188077807143
ZBTB48	0.108406445565999	0.121252988902076	0.0770908215509817	0.10207437427274	0.122841842260606	0.120416255153061	0.220869539906705	0.125791298984672	0.0998462574446311	0.150715401096226
KLHL21	0.142262575944794	0.128226529649904	0.0537834008026856	0.0856146398235667	0.126605853944107	0.156010387671724	0.130895189388769	0.203860423134831	0.0718653935765666	0.136307080289372
PHF13	0.0898204091582054	0.0443195476872814	0.064048690666894	0.159753195648262	0.0677521492854692	0.0834791976423881	0.150140074889915	0.052401884712031	0.149542196566564	0.0711718098630279
THAP3	0.0463771626807029	0.0883225906856201	0.0485431489363873	0.0106436382766457	0.0703300679061688	0.0765344811795282	0.101139170632898	0.0428665590673662	0.0347735038768425	0.0981743578929034
DNAJC11	0.295535770470636	0.364540811558305	0.286650527200893	0.26638716964431	0.295359890219616	0.30257511162241	0.354365183184193	0.273753626199472	0.329888696390216	0.282213771163769
CAMTA1	1.16156194153501	1.61559024658512	1.59716896601806	1.40174951867512	1.25565123653858	1.50707695218498	1.37984728687427	1.23383623669322	1.32073023776607	1.33160757502668
VAMP3	0.123490510239989	0.267247919279499	0.203773510882143	0.172663704164689	0.379515076065054	0.337820559090252	0.219005896773146	0.210153166512559	0.148646706366152	0.0238148465441863
PER3	0.910665373112593	0.859794442343321	0.585884528852306	1.08856055503405	0.892892164713614	0.936406269769697	1.20738410413422	0.999471270553002	1.00798366224543	0.632765165695917
UTS2	0.0132857450597158	0.00748115814332421	0.00447580237306653	0.0112665188272598	0.0195498187328916	0.0417078822132523	0.0660962288407162	0.0128771752099888	0.0187722000166473	0
TNFRSF9	0	0	0.0264536403995271	0	0.0019976371587621	0.0157177450241014	0.00234341036267532	0.00337116773453072	0	0.0405020541637871
PARK7	0.295065656509064	0.257881236500375	0.206490465537326	0.321852772738443	0.681524027517237	0.537910568321595	0.43284599328003	0.296454160773541	0.194370618929771	0.127036294340923
ERRFI1	0.242355615090638	0.136593777469694	0.284487599769652	0.510946006473605	0.216357758091327	0.105411589147948	0.0598896473034863	1.31550504006742	1.82405597996608	0.899929512407315
