gene	cluster
EML1	4
NCAM2	4
DPP10	4
MBP	4
RYR2	4
SYBU	4
ARRDC2	4
AP1S2	4
ADAM10	4
ANK2	4
CYLD	4
SNAP25	4
PEX5L	4
PRKCA	4
RGS5	4
ANK3	4
NEGR1	4
COMMD2	4
SLC24A2	4
NRXN3	4
DSCAM	4
LINGO2	4
KIAA1841	4
GRIK2	4
DPP6	4
SIPA1L2	4
ERC2	4
FAM69A	4
AL157938.3	4
RGS7	4
VSIR	4
MIRLET7BHG	4
NBN	4
CDC14A	4
PPFIA2	4
ABHD3	4
SLC2A13	4
ASCC1	4
TBL1X	4
PINK1	4
PLEKHA5	4
ROBO2	4
NT5DC1	4
STK10	4
CLASP2	4
HABP4	4
NLRC5	4
PRKD1	4
DLGAP1	4
LRRTM4	4
WDR7	4
APBA1	4
PPP2R2B	4
FRMPD4	4
MSH2	4
LRRC7	4
STXBP5	4
EDIL3	4
AKAP6	4
MAP7	4
NCAM1	4
GRIN2A	4
CCDC88A	4
CSMD3	4
GPM6B	4
NLGN1	4
APBB2	5
ALPL	5
EEPD1	5
SIDT1	5
BAALC	5
TRABD2B	5
ERC1	5
CYTH3	5
MAP2	5
SLC16A14	5
CD34	5
KIAA1217	5
BAALC-AS1	5
LIMCH1	5
SLC38A11	5
AL138689.2	5
GTDC1	5
FBXL7	5
FAM135A	5
ABCC1	5
ITGB5	5
KIAA1549L	5
LAMA2	5
PCED1B	5
LCP2	5
EXOC6B	5
MAGI3	5
SOS1	5
PLCL1	5
AL024474.2	5
SLC5A4-AS1	5
EXPH5	5
HECW2	5
CACNA2D1	5
CCSER2	5
EPHA7	5
SYNE2	5
MAP4	5
PARD3B	5
TPTEP2-CSNK1E	5
PREX1	5
DGLUCY	5
FGF14	5
ABCA5	5
PLCB1	5
NAALADL2	5
XPR1	5
FAM174B	5
PLCL2	5
KCTD16	5
PSMA1	5
GRIA3	5
ADAMTS9-AS2	5
NMNAT3	5
PAPSS1	5
ZFHX3	5
FOXP2	5
FILIP1L	5
KAT2B	5
FAM168A	5
SPIRE1	5
SERPINB6	5
CMSS1	5
CCSER1	5
TMEM65	5
MIA2	5
TMEM161B-AS1	5
AC007388.1	5
HSPD1	5
HSPH1	5
AC011511.2	5
LAMA3	5
KSR1	5
XIST	5
NFASC	5
HS6ST3	5
BTBD3	5
AC019197.1	6
ARL15	6
VEGFC	6
PCSK5	6
ROR1	6
MAST4	6
TMTC1	6
COL8A1	6
LINC00840	6
GFOD1	6
DST	6
SCN2A	6
EFNB2	6
RPS6KA5	6
SLC45A4	6
NKAIN2	6
NOS1	6
TC2N	6
RFTN1	6
SCN3A	6
PLPP1	6
FGF2	6
THSD7A	6
SMAD6	6
PLCG2	6
SPECC1	6
FUT8	6
PRDM16	6
PELI1	6
DLL4	6
ITPR1	6
FILIP1	6
UTRN	6
PIK3C2B	6
SETBP1	6
PLXDC2	6
BMX	6
MET	6
KLHL29	6
ITSN2	6
LDB2	6
NOS1AP	6
FRMD4B	6
AC093801.1	6
UNC5B	6
SYNJ2	6
ATP13A3	6
TCF7L1	6
TOX2	6
FAM189A1	6
ITGA9	6
PDE3B	6
AKAP13	6
ZEB2	6
CDC42BPA	6
DIAPH2	6
PDZD2	6
ACOT11	6
KIF13B	6
PCDH11X	6
ARID5A	6
HIP1	6
NTNG1	6
NAV1	6
HERPUD1	6
CP	6
SV2C	6
GRB14	6
BCR	6
KYNU	6
CFH	6
PTK2	6
HEY2	6
SNCAIP	6
GCNT1	6
TMC7	6
PLD1	6
TANC2	6
CYP1B1-AS1	6
PKIG	6
PDGFD	6
LTBP1	6
ADD1	6
CPAMD8	6
UBL7-AS1	6
HS6ST1	6
CAMK2D	6
MCTP1	6
SERINC5	6
GIMAP8	6
SLC37A1	6
SYT1	6
CARMIL1	6
NTN1	6
GAB2	6
SULF1	6
SULF2	6
PCDH11Y	6
SWAP70	6
SH3PXD2B	6
GUCY1A1	6
STK17B	6
DOC2B	6
RNF122	6
FHL1	6
MTURN	6
ARHGEF28	6
CPNE5	6
GLI3	6
NDRG4	6
AC004889.1	6
HTR4	6
PIR	6
PLEKHA6	6
ATP8A1	6
GAREM1	6
FLG-AS1	6
LRIG1	6
CATSPERB	6
ANKRD29	6
AC018816.1	6
ANKRD28	6
